video,frame,LFHoof_x,LFHoof_y,LFHoof_likelihood,LFAnkle_x,LFAnkle_y,LFAnkle_likelihood,LFKnee_x,LFKnee_y,LFKnee_likelihood,RFHoof_x,RFHoof_y,RFHoof_likelihood,RFAnkle_x,RFAnkle_y,RFAnkle_likelihood,RFKnee_x,RFKnee_y,RFKnee_likelihood,LHHoof_x,LHHoof_y,LHHoof_likelihood,LHAnkle_x,LHAnkle_y,LHAnkle_likelihood,LHKnee_x,LHKnee_y,LHKnee_likelihood,RHHoof_x,RHHoof_y,RHHoof_likelihood,RHAnkle_x,RHAnkle_y,RHAnkle_likelihood,RHKnee_x,RHKnee_y,RHKnee_likelihood,Nose_x,Nose_y,Nose_likelihood,HeadTop_x,HeadTop_y,HeadTop_likelihood,Spine1_x,Spine1_y,Spine1_likelihood,Spine2_x,Spine2_y,Spine2_likelihood,Spine3_x,Spine3_y,Spine3_likelihood
0709091803_rgb,44,388.0400085449219,776.3599853515625,1.0,412.9599914550781,755.0,1.0,412.9599914550781,712.280029296875,1.0,366.67999267578125,808.4000244140625,1.0,345.32000732421875,776.3599853515625,1.0,341.760009765625,730.0799560546875,1.0,227.83999633789062,790.5999755859375,1.0,206.47999572753906,762.1199951171875,1.0,174.44000244140625,712.280029296875,1.0,78.31999969482422,811.9599609375,1.0,64.08000183105469,776.3599853515625,1.0,74.76000213623047,708.719970703125,1.0,569.5999755859375,630.4000244140625,1.0,519.760009765625,544.9599609375,1.0,384.47998046875,523.5999755859375,1.0,142.39999389648438,530.719970703125,1.0,277.67999267578125,520.0399780273438,1.0
0709091803_rgb,45,442.67999267578125,782.8099975585938,1.0,456.9599914550781,750.6799926757812,1.0,449.8199768066406,707.8399658203125,1.0,364.1399841308594,807.7999877929688,1.0,346.2900085449219,775.6699829101562,1.0,349.8599853515625,729.260009765625,1.0,228.47999572753906,793.52001953125,1.0,210.62998962402344,761.3900146484375,1.0,174.92999267578125,707.8399658203125,1.0,78.54000091552734,811.3699951171875,1.0,71.4000015258789,775.6699829101562,1.0,78.54000091552734,707.8399658203125,1.0,585.47998046875,632.8699951171875,1.0,531.9299926757812,543.6199951171875,1.0,399.8399963378906,525.77001953125,1.0,157.0800018310547,529.3399658203125,1.0,299.8800048828125,525.77001953125,1.0
0709091803_rgb,46,471.67999267578125,789.7899780273438,1.0,471.67999267578125,752.9400024414062,1.0,456.94000244140625,716.0899658203125,1.0,361.1300048828125,804.530029296875,1.0,346.3899841308594,771.364990234375,1.0,353.760009765625,730.8299560546875,1.0,228.47000122070312,789.7899780273438,1.0,206.36000061035156,760.3099975585938,1.0,176.8800048828125,708.719970703125,1.0,77.38500213623047,815.5850219726562,1.0,70.01499938964844,778.7349853515625,1.0,84.75499725341797,705.0350341796875,1.0,589.5999755859375,631.3349609375,1.0,538.010009765625,546.5800170898438,1.0,405.3500061035156,524.469970703125,1.0,158.4550018310547,528.155029296875,1.0,294.79998779296875,524.469970703125,1.0
0709091803_rgb,47,504.8450012207031,790.7899780273438,1.0,490.10498046875,757.625,1.0,479.04998779296875,717.0899658203125,1.0,361.1300048828125,805.530029296875,1.0,350.0749816894531,772.364990234375,1.0,361.1300048828125,731.8299560546875,1.0,228.47000122070312,790.7899780273438,1.0,206.36000061035156,761.3099975585938,1.0,180.56500244140625,709.719970703125,1.0,81.06999969482422,812.8999633789062,1.0,73.69999694824219,776.0499877929688,1.0,95.80999755859375,706.0350341796875,1.0,604.3399658203125,628.6500244140625,1.0,552.75,543.89501953125,1.0,416.4049987792969,529.155029296875,1.0,169.50999450683594,532.8399658203125,1.0,309.5400085449219,525.469970703125,1.0
0709091803_rgb,48,519.4000244140625,792.1400146484375,1.0,500.8500061035156,758.75,1.0,486.010009765625,721.6500244140625,1.0,363.58001708984375,803.27001953125,1.0,356.1600036621094,769.8800048828125,1.0,363.58001708984375,725.3599853515625,1.0,230.02000427246094,792.1400146484375,1.0,207.760009765625,762.4599609375,1.0,181.79000854492188,710.52001953125,1.0,77.91000366210938,806.97998046875,1.0,77.91000366210938,769.8800048828125,1.0,100.16999816894531,703.0999755859375,1.0,608.4400024414062,628.9000244140625,1.0,556.5,543.5700073242188,1.0,430.3600158691406,532.4400024414062,1.0,181.79000854492188,528.72998046875,1.0,319.05999755859375,525.02001953125,1.0
0709091803_rgb,49,518.1900024414062,795.925048828125,1.0,503.1700134277344,758.375,1.0,488.1500244140625,720.8250122070312,1.0,360.4800109863281,803.4349975585938,1.0,352.9700012207031,769.6400146484375,1.0,367.9900207519531,724.5800170898438,1.0,232.8100128173828,792.1700439453125,1.0,210.27999877929688,762.1300048828125,1.0,187.75,709.5599975585938,1.0,86.36500549316406,792.1700439453125,1.0,108.89500427246094,765.885009765625,1.0,120.16000366210938,702.050048828125,1.0,623.3300170898438,626.9500122070312,1.0,570.760009765625,544.3400268554688,1.0,439.33502197265625,529.3200073242188,1.0,195.260009765625,529.3200073242188,1.0,330.44000244140625,521.8099975585938,1.0
0709091803_rgb,50,517.5,795.25,1.0,498.75,765.25,1.0,487.5,720.25,1.0,360.0,806.5,1.0,352.5,769.0,1.0,375.0,731.5,1.0,232.5,791.5,1.0,210.0,761.5,1.0,187.5,709.0,1.0,108.75,791.5,1.0,131.25,765.25,1.0,131.25,701.5,1.0,637.5,626.5,1.0,577.5,544.0,1.0,450.0,532.75,1.0,202.5,532.75,1.0,341.25,521.5,1.0
0709091803_rgb,51,519.2999877929688,796.52001953125,1.0,500.8249816894531,763.2650146484375,1.0,489.739990234375,722.6199951171875,1.0,364.1099853515625,803.9100341796875,1.0,360.4150085449219,770.655029296875,1.0,378.8899841308594,730.010009765625,1.0,231.08999633789062,792.824951171875,1.0,212.614990234375,763.2650146484375,1.0,201.52999877929688,715.22998046875,1.0,171.97000122070312,800.2149658203125,1.0,175.6649932861328,763.2650146484375,1.0,157.19000244140625,704.14501953125,1.0,648.625,626.5499877929688,1.0,593.2000122070312,541.5650024414062,1.0,460.17999267578125,530.47998046875,1.0,216.30999755859375,530.47998046875,1.0,356.7200012207031,523.0899658203125,1.0
0709091803_rgb,52,520.8399658203125,792.8399658203125,1.0,503.0150146484375,760.7550048828125,1.0,492.32000732421875,721.5400390625,1.0,363.9800109863281,807.0999755859375,1.0,363.9800109863281,767.885009765625,1.0,385.3699951171875,728.6700439453125,1.0,239.2050018310547,785.7100219726562,1.0,214.25,771.4500122070312,1.0,207.1199951171875,717.9749755859375,1.0,196.4250030517578,792.8399658203125,1.0,210.68499755859375,753.625,1.0,171.47000122070312,700.1500244140625,1.0,656.3099975585938,628.8499755859375,1.0,606.4000244140625,543.2900390625,1.0,474.4949951171875,536.1600341796875,1.0,221.3800048828125,529.030029296875,1.0,371.1100158691406,521.9000244140625,1.0
0709091803_rgb,53,523.3900146484375,794.14501953125,1.0,505.4649963378906,761.8800048828125,1.0,494.7099914550781,722.4450073242188,1.0,362.06500244140625,797.72998046875,1.0,379.989990234375,765.4649658203125,1.0,408.6700134277344,733.2000122070312,1.0,225.8350067138672,797.72998046875,1.0,207.91000366210938,765.4649658203125,1.0,193.57000732421875,711.6900024414062,1.0,272.44000244140625,801.3150024414062,1.0,261.68499755859375,761.8800048828125,1.0,236.58999633789062,711.6900024414062,1.0,666.7899780273438,629.2349853515625,1.0,616.5999755859375,546.780029296875,1.0,487.5400085449219,532.4400024414062,1.0,236.58999633789062,532.4400024414062,1.0,379.989990234375,521.6849975585938,1.0
