video,frame,LFHoof_x,LFHoof_y,LFHoof_likelihood,LFAnkle_x,LFAnkle_y,LFAnkle_likelihood,LFKnee_x,LFKnee_y,LFKnee_likelihood,RFHoof_x,RFHoof_y,RFHoof_likelihood,RFAnkle_x,RFAnkle_y,RFAnkle_likelihood,RFKnee_x,RFKnee_y,RFKnee_likelihood,LHHoof_x,LHHoof_y,LHHoof_likelihood,LHAnkle_x,LHAnkle_y,LHAnkle_likelihood,LHKnee_x,LHKnee_y,LHKnee_likelihood,RHHoof_x,RHHoof_y,RHHoof_likelihood,RHAnkle_x,RHAnkle_y,RHAnkle_likelihood,RHKnee_x,RHKnee_y,RHKnee_likelihood,Nose_x,Nose_y,Nose_likelihood,HeadTop_x,HeadTop_y,HeadTop_likelihood,Spine1_x,Spine1_y,Spine1_likelihood,Spine2_x,Spine2_y,Spine2_likelihood,Spine3_x,Spine3_y,Spine3_likelihood
0712131559_rgb,30,406.8500061035156,799.550048828125,1.0,422.6499938964844,783.75,1.0,434.5,740.300048828125,1.0,410.8000183105469,843.0,1.0,395.0,819.2999877929688,1.0,383.1499938964844,760.050048828125,1.0,264.6499938964844,823.25,1.0,237.0,783.75,1.0,193.5500030517578,728.4500122070312,1.0,47.400001525878906,843.0,1.0,39.5,803.5,1.0,71.0999984741211,724.5,1.0,616.2000122070312,685.0,1.0,584.6000366210938,578.3499755859375,1.0,422.6499938964844,534.9000244140625,1.0,158.0,534.9000244140625,1.0,300.20001220703125,527.0,1.0
0712131559_rgb,31,426.19000244140625,807.2100219726562,1.0,441.83001708984375,783.75,1.0,449.6500244140625,740.739990234375,1.0,406.6400146484375,846.3099975585938,1.0,383.1800231933594,811.1199951171875,1.0,383.1800231933594,764.2000122070312,1.0,258.05999755859375,818.9400024414062,1.0,230.69000244140625,783.75,1.0,195.5,732.9200439453125,1.0,46.92000198364258,846.3099975585938,1.0,39.10000228881836,807.2100219726562,1.0,74.29000091552734,729.010009765625,1.0,625.6000366210938,682.0899658203125,1.0,594.3200073242188,576.52001953125,1.0,426.19000244140625,529.5999755859375,1.0,175.9499969482422,533.510009765625,1.0,312.8000183105469,529.5999755859375,1.0
0712131559_rgb,32,472.59002685546875,811.6650390625,1.0,492.6150207519531,779.625,1.0,484.6050109863281,735.5700073242188,1.0,408.510009765625,843.7050170898438,1.0,392.4900207519531,807.6600341796875,1.0,392.4900207519531,759.5999755859375,1.0,264.33001708984375,823.6799926757812,1.0,236.29501342773438,787.635009765625,1.0,200.25,735.5700073242188,1.0,56.06999969482422,843.7050170898438,1.0,52.06500244140625,803.655029296875,1.0,84.1050033569336,723.5550537109375,1.0,640.800048828125,683.5050048828125,1.0,608.760009765625,575.3699951171875,1.0,448.55999755859375,535.3200073242188,1.0,188.23500061035156,535.3200073242188,1.0,328.4100036621094,531.3150024414062,1.0
0712131559_rgb,33,533.9400024414062,817.0750122070312,1.0,521.8049926757812,776.625,1.0,509.6700134277344,732.1300048828125,1.0,412.5899963378906,845.3900146484375,1.0,396.4100036621094,804.9400024414062,1.0,396.4100036621094,756.4000244140625,1.0,258.8800048828125,821.1199951171875,1.0,234.61000061035156,780.6700439453125,1.0,202.25,728.0850219726562,1.0,56.630001068115234,841.3450317382812,1.0,60.67500305175781,800.89501953125,1.0,101.125,719.9949951171875,1.0,663.3800048828125,679.5450439453125,1.0,622.9299926757812,574.375,1.0,461.1300048828125,529.8800048828125,1.0,202.25,529.8800048828125,1.0,339.7799987792969,529.8800048828125,1.0
0712131559_rgb,34,550.739990234375,821.0700073242188,1.0,538.4100341796875,775.8600463867188,1.0,521.9700317382812,730.6500244140625,1.0,411.0,845.7300415039062,1.0,398.6700134277344,804.6300048828125,1.0,402.7799987792969,751.2000122070312,1.0,254.82000732421875,821.0700073242188,1.0,238.3800048828125,779.9700317382812,1.0,201.38999938964844,726.5400390625,1.0,65.76000213623047,841.6199951171875,1.0,73.9800033569336,800.52001953125,1.0,106.86000061035156,718.3200073242188,1.0,665.8200073242188,677.219970703125,1.0,628.8300170898438,570.3599853515625,1.0,472.6500244140625,529.260009765625,1.0,221.94000244140625,525.1500244140625,1.0,361.6800231933594,529.260009765625,1.0
0712131559_rgb,35,578.6499633789062,823.2749633789062,1.0,558.2749633789062,782.5249633789062,1.0,541.9749755859375,741.7749633789062,1.0,407.4999694824219,847.7249755859375,1.0,399.3499755859375,806.9749755859375,1.0,407.4999694824219,754.0,1.0,260.79998779296875,823.2749633789062,1.0,240.42498779296875,786.5999755859375,1.0,215.97499084472656,733.625,1.0,81.5,831.4249877929688,1.0,114.09999084472656,798.824951171875,1.0,130.39999389648438,721.3999633789062,1.0,684.5999755859375,672.5,1.0,643.8499755859375,566.5499877929688,1.0,493.0749816894531,533.949951171875,1.0,224.12498474121094,525.7999877929688,1.0,374.8999938964844,525.7999877929688,1.0
0712131559_rgb,36,586.530029296875,828.6300048828125,1.0,566.5800170898438,788.72998046875,1.0,550.6199951171875,740.8499755859375,1.0,410.9700012207031,848.5800170898438,1.0,399.0,808.6799926757812,1.0,406.9800109863281,756.8099975585938,1.0,263.3399963378906,824.6400146484375,1.0,247.3800048828125,784.739990234375,1.0,215.4600067138672,728.8800048828125,1.0,107.7300033569336,824.6400146484375,1.0,135.66000366210938,800.7000122070312,1.0,151.6199951171875,720.9000244140625,1.0,694.260009765625,673.02001953125,1.0,650.3699951171875,569.280029296875,1.0,498.75,533.3699951171875,1.0,243.38999938964844,521.4000244140625,1.0,391.0199890136719,529.3800048828125,1.0
0712131559_rgb,37,591.4199829101562,825.8200073242188,1.0,568.260009765625,787.219970703125,1.0,556.6799926757812,740.9000244140625,1.0,410.0,845.1199951171875,1.0,402.2799987792969,802.6599731445312,1.0,417.7200012207031,756.3399658203125,1.0,263.32000732421875,825.8200073242188,1.0,244.01998901367188,787.219970703125,1.0,224.72000122070312,729.3199462890625,1.0,182.25999450683594,821.9599609375,1.0,189.97999572753906,794.93994140625,1.0,174.5399932861328,725.4599609375,1.0,711.0799560546875,667.5599975585938,1.0,664.760009765625,567.199951171875,1.0,518.0799560546875,536.3200073242188,1.0,255.59999084472656,520.8800048828125,1.0,410.0,528.5999755859375,1.0
0712131559_rgb,38,592.2100219726562,824.7799682617188,1.0,569.3499755859375,790.489990234375,1.0,554.1099853515625,748.5799560546875,1.0,405.5199890136719,847.6400146484375,1.0,401.7099914550781,805.72998046875,1.0,420.760009765625,756.199951171875,1.0,275.97998046875,817.1599731445312,1.0,203.58999633789062,809.5399780273438,1.0,237.8800048828125,725.719970703125,1.0,260.739990234375,840.02001953125,1.0,249.30999755859375,790.489990234375,1.0,207.39999389648438,721.9100341796875,1.0,717.9400024414062,664.760009765625,1.0,672.219970703125,565.699951171875,1.0,523.6300048828125,535.219970703125,1.0,260.739990234375,519.97998046875,1.0,416.9499816894531,527.5999755859375,1.0
0712131559_rgb,39,594.2850341796875,825.4700317382812,1.0,571.39501953125,791.135009765625,1.0,559.9500122070312,749.1700439453125,1.0,399.7200012207031,844.5449829101562,1.0,407.3500061035156,802.5800170898438,1.0,437.8699951171875,756.800048828125,1.0,258.56500244140625,833.1000366210938,1.0,235.6750030517578,798.7650146484375,1.0,220.41500854492188,730.094970703125,1.0,311.9750061035156,836.9149780273438,1.0,300.5299987792969,798.7650146484375,1.0,266.19500732421875,733.9100341796875,1.0,735.4400024414062,665.239990234375,1.0,689.6600341796875,566.050048828125,1.0,544.6900024414062,535.530029296875,1.0,277.6400146484375,520.27001953125,1.0,430.239990234375,527.9000244140625,1.0
