video,frame,LFHoof_x,LFHoof_y,LFHoof_likelihood,LFAnkle_x,LFAnkle_y,LFAnkle_likelihood,LFKnee_x,LFKnee_y,LFKnee_likelihood,RFHoof_x,RFHoof_y,RFHoof_likelihood,RFAnkle_x,RFAnkle_y,RFAnkle_likelihood,RFKnee_x,RFKnee_y,RFKnee_likelihood,LHHoof_x,LHHoof_y,LHHoof_likelihood,LHAnkle_x,LHAnkle_y,LHAnkle_likelihood,LHKnee_x,LHKnee_y,LHKnee_likelihood,RHHoof_x,RHHoof_y,RHHoof_likelihood,RHAnkle_x,RHAnkle_y,RHAnkle_likelihood,RHKnee_x,RHKnee_y,RHKnee_likelihood,Nose_x,Nose_y,Nose_likelihood,HeadTop_x,HeadTop_y,HeadTop_likelihood,Spine1_x,Spine1_y,Spine1_likelihood,Spine2_x,Spine2_y,Spine2_likelihood,Spine3_x,Spine3_y,Spine3_likelihood
0711131800_rgb,29,263.6400146484375,800.4400024414062,1.0,267.02001953125,766.6400146484375,1.0,290.6800231933594,732.8400268554688,1.0,412.3600158691406,813.9600219726562,1.0,395.46002197265625,780.1600341796875,1.0,378.55999755859375,739.5999755859375,1.0,162.24000549316406,783.5400390625,1.0,158.86000061035156,749.739990234375,1.0,128.44000244140625,699.0400390625,1.0,114.92000579833984,797.06005859375,1.0,94.63999938964844,766.6400146484375,1.0,87.8800048828125,715.9400024414062,1.0,527.280029296875,648.3399658203125,1.0,486.72003173828125,563.8400268554688,1.0,344.760009765625,543.5599975585938,1.0,141.9600067138672,536.7999877929688,1.0,250.12001037597656,543.5599975585938,1.0
0711131800_rgb,30,262.4700012207031,799.0050048828125,1.0,272.56500244140625,765.35498046875,1.0,296.1199951171875,731.7049560546875,1.0,410.5299987792969,812.4649658203125,1.0,393.7049865722656,778.8150024414062,1.0,383.6100158691406,741.7999877929688,1.0,188.44000244140625,788.9100341796875,1.0,185.0749969482422,751.89501953125,1.0,161.52000427246094,701.4200439453125,1.0,111.04499816894531,799.0050048828125,1.0,94.22000122070312,768.719970703125,1.0,87.48999786376953,708.1500244140625,1.0,531.6699829101562,647.5799560546875,1.0,494.6549987792969,566.8200073242188,1.0,349.9599914550781,546.6300048828125,1.0,154.7899932861328,533.1699829101562,1.0,262.4700012207031,539.9000244140625,1.0
0711131800_rgb,31,272.9700012207031,788.5799560546875,1.0,299.92999267578125,764.989990234375,1.0,326.8899841308594,734.6599731445312,1.0,414.5099792480469,812.1699829101562,1.0,397.65997314453125,778.469970703125,1.0,384.17999267578125,741.4000244140625,1.0,249.37998962402344,788.5799560546875,1.0,229.1599884033203,761.6199951171875,1.0,195.45999145507812,711.0699462890625,1.0,111.20999908447266,805.4299926757812,1.0,97.72999572753906,768.3599853515625,1.0,97.72999572753906,711.0699462890625,1.0,545.9400024414062,653.780029296875,1.0,508.8699951171875,562.7899780273438,1.0,360.5899963378906,542.5700073242188,1.0,155.01998901367188,535.8299560546875,1.0,269.5999755859375,539.2000122070312,1.0
0711131800_rgb,32,294.9300231933594,781.47998046875,1.0,325.44000244140625,767.9200439453125,1.0,345.7799987792969,734.02001953125,1.0,413.58001708984375,811.989990234375,1.0,396.6300048828125,781.47998046875,1.0,386.46002197265625,740.800048828125,1.0,264.4200134277344,788.260009765625,1.0,244.0800018310547,761.1400146484375,1.0,216.9600067138672,706.9000244140625,1.0,108.4800033569336,805.2100219726562,1.0,94.92000579833984,771.31005859375,1.0,101.70000457763672,706.9000244140625,1.0,552.5700073242188,652.6600341796875,1.0,515.280029296875,564.52001953125,1.0,366.1200256347656,544.1799926757812,1.0,176.27999877929688,530.6199951171875,1.0,277.9800109863281,537.4000244140625,1.0
0711131800_rgb,33,331.2400207519531,782.1600341796875,1.0,365.0400085449219,768.6400146484375,1.0,375.1800231933594,731.4600219726562,1.0,415.7400207519531,809.2000122070312,1.0,398.84002685546875,778.780029296875,1.0,398.84002685546875,741.5999755859375,1.0,280.5400085449219,788.9200439453125,1.0,263.6400146484375,761.8800048828125,1.0,233.22000122070312,707.800048828125,1.0,111.54000091552734,802.4400024414062,1.0,98.02000427246094,768.6400146484375,1.0,108.16000366210938,704.4200439453125,1.0,564.4600219726562,653.719970703125,1.0,527.280029296875,565.8400268554688,1.0,378.55999755859375,542.1799926757812,1.0,179.13999938964844,535.4200439453125,1.0,290.6800231933594,538.7999877929688,1.0
0711131800_rgb,34,359.625,785.0999755859375,1.0,387.0249938964844,767.9749755859375,1.0,407.5749816894531,733.7249755859375,1.0,411.0,812.5,1.0,404.1499938964844,788.5250244140625,1.0,397.29998779296875,750.8499755859375,1.0,287.6999816894531,791.949951171875,1.0,270.5749816894531,761.125,1.0,239.75,709.75,1.0,113.0250015258789,802.2249755859375,1.0,102.75,767.9749755859375,1.0,113.0250015258789,706.324951171875,1.0,568.5499877929688,654.949951171875,1.0,534.2999877929688,565.9000244140625,1.0,383.6000061035156,541.9249877929688,1.0,195.22499084472656,535.0750122070312,1.0,294.54998779296875,538.5,1.0
0711131800_rgb,35,430.625,782.2949829101562,1.0,444.4049987792969,761.625,1.0,447.8500061035156,723.72998046875,1.0,423.7349853515625,813.2999877929688,1.0,403.06500244140625,789.1849975585938,1.0,399.6199951171875,740.9549560546875,1.0,289.3800048828125,792.6300048828125,1.0,268.7099914550781,761.625,1.0,237.7050018310547,709.949951171875,1.0,113.68499755859375,802.9649658203125,1.0,110.23999786376953,765.0699462890625,1.0,117.12999725341797,703.0599975585938,1.0,582.2050170898438,654.8299560546875,1.0,547.7550048828125,565.260009765625,1.0,396.17498779296875,541.14501953125,1.0,206.6999969482422,537.7000122070312,1.0,310.04998779296875,541.14501953125,1.0
0711131800_rgb,36,448.0,786.0,1.0,465.5,761.5,1.0,462.0,719.5,1.0,413.0,814.0,1.0,395.5,782.5,1.0,399.0,737.0,1.0,290.5,793.0,1.0,269.5,761.5,1.0,241.5,716.0,1.0,112.0,803.5,1.0,112.0,765.0,1.0,129.5,705.5,1.0,588.0,656.5,1.0,553.0,565.5,1.0,409.5,541.0,1.0,224.0,541.0,1.0,322.0,541.0,1.0
0711131800_rgb,37,497.29998779296875,794.3299560546875,1.0,500.79498291015625,755.885009765625,1.0,490.30999755859375,717.4400024414062,1.0,413.41998291015625,815.2999877929688,1.0,399.44000244140625,780.3499755859375,1.0,399.44000244140625,738.4099731445312,1.0,287.5999755859375,794.3299560546875,1.0,270.125,762.875,1.0,238.6699981689453,713.9449462890625,1.0,112.8499984741211,804.81494140625,1.0,116.3449935913086,769.864990234375,1.0,140.80999755859375,703.4599609375,1.0,609.1399536132812,654.530029296875,1.0,570.6950073242188,567.155029296875,1.0,420.40997314453125,542.6900024414062,1.0,238.6699981689453,542.6900024414062,1.0,340.0249938964844,542.6900024414062,1.0
0711131800_rgb,38,543.25,802.2000122070312,1.0,528.9500122070312,766.4500122070312,1.0,514.6500244140625,727.125,1.0,414.5500183105469,809.3499755859375,1.0,403.82501220703125,777.175048828125,1.0,407.3999938964844,734.2750244140625,1.0,289.4250183105469,795.050048828125,1.0,267.9750061035156,762.875,1.0,242.9499969482422,709.25,1.0,114.25,802.2000122070312,1.0,124.9749984741211,770.0250244140625,1.0,150.0,702.0999755859375,1.0,621.9000244140625,652.050048828125,1.0,586.1500244140625,566.25,1.0,436.0,544.7999877929688,1.0,250.10000610351562,544.7999877929688,1.0,350.20001220703125,537.6500244140625,1.0
