video,frame,LFHoof_x,LFHoof_y,LFHoof_likelihood,LFAnkle_x,LFAnkle_y,LFAnkle_likelihood,LFKnee_x,LFKnee_y,LFKnee_likelihood,RFHoof_x,RFHoof_y,RFHoof_likelihood,RFAnkle_x,RFAnkle_y,RFAnkle_likelihood,RFKnee_x,RFKnee_y,RFKnee_likelihood,LHHoof_x,LHHoof_y,LHHoof_likelihood,LHAnkle_x,LHAnkle_y,LHAnkle_likelihood,LHKnee_x,LHKnee_y,LHKnee_likelihood,RHHoof_x,RHHoof_y,RHHoof_likelihood,RHAnkle_x,RHAnkle_y,RHAnkle_likelihood,RHKnee_x,RHKnee_y,RHKnee_likelihood,Nose_x,Nose_y,Nose_likelihood,HeadTop_x,HeadTop_y,HeadTop_likelihood,Spine1_x,Spine1_y,Spine1_likelihood,Spine2_x,Spine2_y,Spine2_likelihood,Spine3_x,Spine3_y,Spine3_likelihood
0522134205_rgb,32,525.0,811.0,1.0,506.25,777.25,1.0,498.75,736.0,1.0,360.0,822.25,1.0,356.25,784.75,1.0,375.0,743.5,1.0,210.0,811.0,1.0,195.0,773.5,1.0,183.75,717.25,1.0,135.0,807.25,1.0,142.5,777.25,1.0,131.25,706.0,1.0,645.0,623.5,1.0,585.0,544.75,1.0,461.25,544.75,1.0,217.5,541.0,1.0,348.75,541.0,1.0
0522134205_rgb,33,525.925048828125,808.7750244140625,1.0,508.0500183105469,776.5999755859375,1.0,500.8999938964844,740.8499755859375,1.0,357.8999938964844,823.0750122070312,1.0,361.4750061035156,787.3250122070312,1.0,382.9250183105469,744.425048828125,1.0,214.90000915527344,801.625,1.0,211.3249969482422,769.4500122070312,1.0,189.875,715.8250122070312,1.0,179.15000915527344,808.7750244140625,1.0,179.15000915527344,780.175048828125,1.0,154.125,708.675048828125,1.0,651.0499877929688,626.4500122070312,1.0,593.8500366210938,547.7999877929688,1.0,465.1499938964844,533.5,1.0,214.90000915527344,540.6500244140625,1.0,365.0500183105469,540.6500244140625,1.0
0522134205_rgb,34,535.300048828125,807.1199951171875,1.0,514.030029296875,778.760009765625,1.0,506.94000244140625,739.7650146484375,1.0,354.5050048828125,814.2100219726562,1.0,372.2300109863281,782.3050537109375,1.0,400.5899963378906,750.4000244140625,1.0,202.07000732421875,800.030029296875,1.0,191.43499755859375,768.125,1.0,177.2550048828125,714.9500122070312,1.0,269.42498779296875,817.7550048828125,1.0,251.70001220703125,778.760009765625,1.0,223.33999633789062,725.5850219726562,1.0,662.9200439453125,629.8699951171875,1.0,613.2900390625,544.7900390625,1.0,478.58001708984375,537.7000122070312,1.0,233.97500610351562,537.7000122070312,1.0,386.4100036621094,537.7000122070312,1.0
0522134205_rgb,35,527.5400390625,809.5150146484375,1.0,513.1600341796875,777.1600341796875,1.0,505.9700012207031,741.2099609375,1.0,358.57501220703125,813.1099853515625,1.0,383.739990234375,784.3499755859375,1.0,419.69000244140625,755.5899658203125,1.0,218.3699951171875,816.7050170898438,1.0,203.99000549316406,780.7550048828125,1.0,196.8000030517578,723.2349853515625,1.0,304.6500244140625,816.7050170898438,1.0,283.08001708984375,784.3499755859375,1.0,243.53500366210938,730.425048828125,1.0,671.3400268554688,636.9550170898438,1.0,621.010009765625,547.0800170898438,1.0,491.5899963378906,539.8900146484375,1.0,236.34500122070312,543.4849853515625,1.0,390.92999267578125,539.8900146484375,1.0
0522134205_rgb,36,527.6500244140625,812.489990234375,1.0,509.625,780.0450439453125,1.0,509.625,740.3900146484375,1.0,394.2650146484375,798.0700073242188,1.0,426.7099914550781,783.6500244140625,1.0,455.54998779296875,754.8099975585938,1.0,203.1999969482422,812.489990234375,1.0,199.59500122070312,772.8349609375,1.0,203.1999969482422,711.5499877929688,1.0,351.0050048828125,819.7000122070312,1.0,325.7699890136719,783.6500244140625,1.0,282.510009765625,725.969970703125,1.0,686.27001953125,639.4500122070312,1.0,635.7999877929688,545.719970703125,1.0,506.0199890136719,538.510009765625,1.0,257.2749938964844,545.719970703125,1.0,397.8699951171875,538.510009765625,1.0
0522134205_rgb,37,523.969970703125,814.1099853515625,1.0,513.1849975585938,778.1600341796875,1.0,513.1849975585938,738.614990234375,1.0,419.7149963378906,799.72998046875,1.0,452.07000732421875,785.3499755859375,1.0,473.6400146484375,756.5899658203125,1.0,207.61000061035156,810.5150146484375,1.0,200.4199981689453,774.5650024414062,1.0,200.4199981689453,713.4500122070312,1.0,362.19500732421875,817.7050170898438,1.0,333.43499755859375,785.3499755859375,1.0,293.8900146484375,727.8300170898438,1.0,689.3400268554688,641.5499877929688,1.0,646.2000122070312,548.0800170898438,1.0,509.5899963378906,540.8900146484375,1.0,265.1300048828125,548.0800170898438,1.0,401.739990234375,537.2949829101562,1.0
0522134205_rgb,38,523.9550170898438,812.14501953125,1.0,520.3699951171875,776.2950439453125,1.0,495.2749938964844,740.4450073242188,1.0,473.7650146484375,801.3900146484375,1.0,498.8600158691406,790.635009765625,1.0,527.5400390625,758.3699951171875,1.0,204.88999938964844,812.14501953125,1.0,201.30499267578125,776.2950439453125,1.0,212.05999755859375,715.3499755859375,1.0,351.875,812.14501953125,1.0,330.364990234375,783.4649658203125,1.0,294.5150146484375,733.2750244140625,1.0,706.7899780273438,643.6500244140625,1.0,667.35498046875,546.85498046875,1.0,527.5400390625,539.6849975585938,1.0,283.760009765625,550.4400024414062,1.0,412.82000732421875,543.27001953125,1.0
0522134205_rgb,39,532.2550048828125,814.7349853515625,1.0,521.2900390625,781.8399658203125,1.0,517.635009765625,745.2900390625,1.0,550.530029296875,811.0799560546875,1.0,565.1500244140625,781.8399658203125,1.0,565.1500244140625,745.2900390625,1.0,206.95999145507812,818.3900146484375,1.0,203.30499267578125,778.1849975585938,1.0,221.5800018310547,716.0499877929688,1.0,349.5050048828125,818.3900146484375,1.0,327.57501220703125,785.4949951171875,1.0,301.989990234375,730.6699829101562,1.0,725.969970703125,642.9500122070312,1.0,682.1099853515625,547.9199829101562,1.0,543.219970703125,536.9550170898438,1.0,294.67999267578125,547.9199829101562,1.0,426.260009765625,540.6099853515625,1.0
0522134205_rgb,40,531.760009765625,816.7899780273438,1.0,513.7099609375,784.2999877929688,1.0,517.3199462890625,744.5899658203125,1.0,571.469970703125,813.1799926757812,1.0,589.52001953125,780.68994140625,1.0,589.52001953125,740.97998046875,1.0,206.86000061035156,816.7899780273438,1.0,206.86000061035156,777.0799560546875,1.0,232.1300048828125,712.0999755859375,1.0,351.260009765625,816.7899780273438,1.0,325.989990234375,780.68994140625,1.0,297.1099853515625,730.1500244140625,1.0,733.9199829101562,639.9000244140625,1.0,694.2099609375,549.6500244140625,1.0,553.4199829101562,538.8200073242188,1.0,315.15997314453125,549.6500244140625,1.0,445.1199951171875,538.8200073242188,1.0
0522134205_rgb,41,533.9199829101562,814.3199462890625,1.0,515.8199462890625,781.739990234375,1.0,526.6799926757812,741.9199829101562,1.0,642.5199584960938,814.3199462890625,1.0,631.6599731445312,778.1199951171875,1.0,613.5599975585938,734.6799926757812,1.0,215.36000061035156,814.3199462890625,1.0,215.36000061035156,774.5,1.0,237.07998657226562,712.9599609375,1.0,352.91998291015625,821.5599975585938,1.0,331.20001220703125,785.3599853515625,1.0,309.47998046875,734.6799926757812,1.0,751.1199951171875,640.5599975585938,1.0,707.6799926757812,546.4400024414062,1.0,562.8800048828125,535.5799560546875,1.0,320.3399963378906,550.0599975585938,1.0,454.2799987792969,539.2000122070312,1.0
0522134205_rgb,42,530.1600341796875,816.47998046875,1.0,519.1199951171875,783.3599853515625,1.0,526.47998046875,739.2000122070312,1.0,662.6400146484375,816.47998046875,1.0,651.6000366210938,776.0,1.0,625.8399658203125,735.52001953125,1.0,213.67999267578125,805.4400024414062,1.0,232.0800018310547,768.6400146484375,1.0,250.47999572753906,709.760009765625,1.0,349.84002685546875,820.1600341796875,1.0,331.44000244140625,783.3599853515625,1.0,305.67999267578125,731.8399658203125,1.0,758.3200073242188,639.8399658203125,1.0,714.1600341796875,547.8400268554688,1.0,578.0,533.1199951171875,1.0,327.760009765625,551.52001953125,1.0,456.55999755859375,540.47998046875,1.0
0522134205_rgb,43,527.8399658203125,814.5499877929688,1.0,516.6500244140625,777.25,1.0,535.2999877929688,739.9500122070312,1.0,677.0399780273438,822.010009765625,1.0,662.1199951171875,784.7099609375,1.0,643.4700317382812,739.9500122070312,1.0,236.89999389648438,795.9000244140625,1.0,266.739990234375,766.0599975585938,1.0,266.739990234375,710.1099853515625,1.0,356.260009765625,822.010009765625,1.0,333.8800048828125,788.4400024414062,1.0,315.22998046875,732.489990234375,1.0,777.75,639.239990234375,1.0,729.260009765625,545.989990234375,1.0,591.25,534.7999877929688,1.0,348.79998779296875,549.719970703125,1.0,483.08001708984375,542.260009765625,1.0
0522134205_rgb,44,525.5,813.47998046875,1.0,521.9450073242188,781.4849853515625,1.0,539.719970703125,738.8250122070312,1.0,681.9200439453125,820.5899658203125,1.0,664.14501953125,788.594970703125,1.0,646.3699951171875,742.3800048828125,1.0,273.0950012207031,785.0400390625,1.0,294.42498779296875,763.7100219726562,1.0,287.31500244140625,710.385009765625,1.0,354.8599853515625,820.5899658203125,1.0,333.5299987792969,785.0400390625,1.0,319.30999755859375,735.27001953125,1.0,781.4600219726562,635.72998046875,1.0,735.2449951171875,546.85498046875,1.0,600.155029296875,543.2999877929688,1.0,358.4150085449219,550.4100341796875,1.0,489.95001220703125,543.2999877929688,1.0
0522134205_rgb,45,527.9599609375,811.719970703125,1.0,524.4400024414062,780.0400390625,1.0,549.0799560546875,741.3200073242188,1.0,679.3200073242188,818.760009765625,1.0,661.719970703125,787.0799560546875,1.0,651.1600341796875,744.8399658203125,1.0,316.760009765625,790.5999755859375,1.0,323.79998779296875,765.9599609375,1.0,313.239990234375,706.1199951171875,1.0,355.47998046875,825.7999877929688,1.0,344.91998291015625,790.5999755859375,1.0,330.8399963378906,734.280029296875,1.0,795.47998046875,635.719970703125,1.0,746.2000122070312,544.2000122070312,1.0,619.47998046875,544.2000122070312,1.0,373.08001708984375,547.719970703125,1.0,510.3599853515625,540.6799926757812,1.0
0522134205_rgb,46,528.469970703125,814.18505859375,1.0,538.9849853515625,779.135009765625,1.0,556.510009765625,740.5800170898438,1.0,682.6900024414062,817.6900024414062,1.0,668.6700439453125,782.6400146484375,1.0,654.6500244140625,747.5900268554688,1.0,409.29998779296875,800.1650390625,1.0,402.2900085449219,761.6099853515625,1.0,374.25,712.5400390625,1.0,353.2200012207031,821.1950073242188,1.0,339.20001220703125,782.6400146484375,1.0,332.19000244140625,723.0550537109375,1.0,812.375,642.4400024414062,1.0,766.8099975585938,551.3099975585938,1.0,633.6199951171875,544.2999877929688,1.0,388.27001953125,547.8049926757812,1.0,528.469970703125,537.2900390625,1.0
0522134205_rgb,47,534.8499755859375,815.1699829101562,1.0,541.780029296875,780.52001953125,1.0,566.0350341796875,745.8699951171875,1.0,687.3099975585938,818.635009765625,1.0,666.52001953125,787.449951171875,1.0,659.5899658203125,749.3349609375,1.0,437.83001708984375,801.3099975585938,1.0,430.8999938964844,763.1949462890625,1.0,396.25,711.219970703125,1.0,354.66998291015625,818.635009765625,1.0,337.3450012207031,783.9849853515625,1.0,337.3450012207031,721.614990234375,1.0,818.97998046875,645.385009765625,1.0,777.3999633789062,551.8300170898438,1.0,642.2650146484375,541.4349975585938,1.0,389.32000732421875,551.8300170898438,1.0,527.9199829101562,537.969970703125,1.0
0522134205_rgb,48,545.6199951171875,799.5050048828125,1.0,576.9849853515625,778.594970703125,1.0,601.3800048828125,747.22998046875,1.0,685.02001953125,823.9000244140625,1.0,667.594970703125,792.5349731445312,1.0,660.625,754.199951171875,1.0,503.79998779296875,809.9599609375,1.0,486.375,778.594970703125,1.0,441.07000732421875,719.3499755859375,1.0,357.42999267578125,820.4149780273438,1.0,340.0050048828125,785.56494140625,1.0,346.9750061035156,715.864990234375,1.0,831.3899536132812,646.1649780273438,1.0,789.5700073242188,552.0700073242188,1.0,657.1400146484375,541.614990234375,1.0,406.2200012207031,552.0700073242188,1.0,542.135009765625,541.614990234375,1.0
0522134205_rgb,49,575.8599853515625,791.0999755859375,1.0,615.1300048828125,780.3900146484375,1.0,632.97998046875,744.6900024414062,1.0,690.0999755859375,819.6600341796875,1.0,665.1099853515625,791.0999755859375,1.0,668.6799926757812,755.4000244140625,1.0,533.02001953125,805.3800048828125,1.0,504.4599914550781,776.8199462890625,1.0,461.6199951171875,719.699951171875,1.0,354.52001953125,823.22998046875,1.0,340.239990234375,787.530029296875,1.0,354.52001953125,716.1300048828125,1.0,847.1799926757812,648.2999877929688,1.0,807.9099731445312,551.9099731445312,1.0,665.1099853515625,541.2000122070312,1.0,425.91998291015625,555.47998046875,1.0,558.010009765625,541.2000122070312,1.0
0522134205_rgb,50,613.300048828125,785.47998046875,1.0,642.5800170898438,774.5,1.0,664.5400390625,730.5800170898438,1.0,682.8399658203125,822.0800170898438,1.0,675.52001953125,789.1400146484375,1.0,660.8800048828125,756.2000122070312,1.0,529.1199951171875,807.4400024414062,1.0,507.1600036621094,778.1600341796875,1.0,470.55999755859375,723.260009765625,1.0,353.44000244140625,825.739990234375,1.0,342.4599914550781,789.1400146484375,1.0,360.760009765625,715.9400024414062,1.0,854.8599853515625,646.4000244140625,1.0,814.6000366210938,551.239990234375,1.0,679.1800537109375,540.260009765625,1.0,430.29998779296875,551.239990234375,1.0,562.0599975585938,536.5999755859375,1.0
0522134205_rgb,51,680.260009765625,784.97998046875,1.0,701.97998046875,766.8800048828125,1.0,709.219970703125,730.6799926757812,1.0,683.8800048828125,824.7999877929688,1.0,676.6400146484375,799.4599609375,1.0,662.1599731445312,745.1599731445312,1.0,520.97998046875,810.3199462890625,1.0,502.8800048828125,774.1199951171875,1.0,466.67999267578125,719.8199462890625,1.0,354.4599914550781,824.7999877929688,1.0,347.2200012207031,784.97998046875,1.0,368.94000244140625,716.199951171875,1.0,872.1199951171875,651.0399780273438,1.0,835.9199829101562,549.6799926757812,1.0,694.739990234375,542.4400024414062,1.0,444.9599914550781,549.6799926757812,1.0,568.0399780273438,542.4400024414062,1.0
0522134205_rgb,52,703.0,791.0400390625,1.0,725.5599975585938,768.47998046875,1.0,725.5599975585938,723.3599853515625,1.0,684.2000122070312,824.8800048828125,1.0,669.1600341796875,794.7999877929688,1.0,669.1600341796875,749.6799926757812,1.0,526.280029296875,809.8399658203125,1.0,503.7200012207031,779.760009765625,1.0,473.6400146484375,719.5999755859375,1.0,353.32000732421875,828.6400146484375,1.0,349.55999755859375,791.0400390625,1.0,375.8800048828125,715.8399658203125,1.0,879.719970703125,651.9200439453125,1.0,842.1199951171875,554.1600341796875,1.0,703.0,539.1199951171875,1.0,458.6000061035156,554.1600341796875,1.0,571.4000244140625,539.1199951171875,1.0
